Id,Bahasa
General.LOBBY,LOBI
General.SHARE,BAGI
General.BACK,KEMBALI
General.CANCEL,BATAL
General.BUY,BELI
General.CONTINUE,LANJUT
General.ENTER,MASUK
General.LOADING,MEMUAT
General.SEND,KIRIM
SignIn.ENTER_USERNAME,MASUKKAN NAMA PENGGUNA ATAU EMAIL
SignIn.ENTER_PASSWORD,MASUKKAN KATA SANDI ANDA
SignIn.FORGOT_PASSWORD,    LUPA KATA SANDI?
SignIn.SIGNUP,DAFTAR    
SignIn.OR,- ATAU -
SignIn.PLEASE_ENTER,MOHON MASUKKAN NAMA PENGGUNA DAN KATA SANDI ANDA!
SignIn.WRONG,NAMA PENGGUNA ATAU KATA SANDI SALAH!
SignUp.SIGNUP,DAFTAR
SignUp.ENTER_USERNAME,MASUKKAN NAMA PENGGUNA ANDA
SignUp.ENTER_EMAIL,MASUKKAN EMAIL ANDA
SignUp.ENTER_PHONE,MASUKKAN NOMOR TELPON ANDA
SignUp.ENTER_PASSWORD,MASUKKAN KATA SANDI ANDA
SignUp.CONFIRM_PASSWORD,KONFIRMASI KATA SANDI ANDA
SignUp.GENDER,JENIS
SignUp.MALE,LAKI-LAKI
SignUp.FEMALE,PEREMPUAN
SignUp.SUBSCRIBE,BERLANGGANAN BERITA
SignUp.HAVE_READ,SAYA TELAH MEMBACA DAN SETUJU TERHADAP
SignUp.TNC,SYARAT & KETENTUAN
SignUp.FILL_ALL,MOHON ISI SEMUA KOLOM!
SignUp.ERROR_BAD_USERNAME,PENDAFTARAN GAGAL!\nNAMA PENGGUNA MENGANDUNG KATA-KATA TERLARANG
SignUp.ERROR_USERNAME_EXISTS,PENDAFTARAN GAGAL!\nNAMA PENGGUNA SUDAH ADA
SignUp.ERROR_INCORRECT_EMAIL,MOHON MENGGUNAKAN ALAMAT EMAIL YANG BENAR!
SignUp.ERROR_PASSWORD_MATCH,MOHON KONFIRMASI DENGAN KATA SANDI YANG SAMA!
SignUp.ERROR_GENDER,MOHON MENENTUKAN JENIS KELAMIN!
SignUp.ERROR_AGREE_TNC,ANDA HARUS SETUJU TERHADAP SYARAT & KENTENTUAN UNTUK LANJUT
SignUp.ERROR_EMAIL_REGISTERED,PENDAFTARAN GAGAL!\EMAIL SUDAH TERDAFTAR
SignUp.ERROR_TRY_AGAIN,PENDAFTARAN GAGAL!\MOHON COBA BEBERAPA SAAT LAGI
Verify.PLEASE_ENTER,MOHON MASUKKAN KODE OTP YANG SUDAH DIKIRIM KE ALAMAT EMAIL ANDA
Verify.ENTER_OTP,MASUKKAN OTP ANDA
Verify.WRONG_OTP,OTP SALAH ATAU KADALUARSA
Verify.SEND_AGAIN,KIRIM LAGI
Verify.FAILED_OTP,GAGAL MENGIRIM OTP BARU
ForgotPassword.SEND_INSTRUCTION,MOHON MASUKKAN NAMA PENGGUNA ATAU EMAIL ANDA,\nSEBUAH INSTRUKSI AKAN DIKIRIM KE ANDA.
ForgotPassword.PLEASE_INPUT,MOHON MASUKKAN NAMA PENGGUNA ATAU EMAIL!
ForgotPassword.FAILED_PASSWORD,GAGAL MERUBAH KATA SANDI
ForgotPassword.PLEASE_ENTER_OTP,MOHON MASUKKAN OTP ANDA
ForgotPassword.PLEASE_ENTER_PASSWORD,MOHON MASUKKAN KATA SANDI BARU ANDA
ForgotPassword.CHANGE_SUCCESS,PERUBAHAN KATA SANDI BERHASIL!
Header.GET_PET,DAPATKAN PELIHARAAN
Header.TRAIN,LATIH
Header.CLAIM,KLAIM
Navigation.WINNER,PEMENANG
Navigation.NEWS,BERITA
Navigation.HOME,BERANDA
Navigation.SHOP,TOKO
Navigation.TRAIN,LATIHAN
Landing.CURRENT_AUCTION,LELANG SAAT INI
AuctionLobby.OPEN_BID,Tawaran Awal
AuctionLobby.NEXT_INCREMENT,Tawaran Selanjutnya
AuctionLobby.MAX_PRICE,Harga Maksimal
AuctionLobby.CLAIM,KLAIM
AuctionLobby.JOIN_FOR,BERPARTISIPASI
AuctionLobby.AUCTION_DATE,TANGGAL LELANG
AuctionLobby.WON_PRICE,HARGA MENANG
AuctionLobby.WINNER_OF,PEMENANG DARI
AuctionLobby.PARTICIPANTS,PESERTA
AuctionRoom.AUCTION_ROOM,RUANG LELANG
AuctionRoom.CURRENT_PRICE,HARGA SEKARANG
AuctionRoom.NEXT_INCREMENT,TAWARAN SELANJUTNYA
AuctionRoom.MAX_PRICE,HARGA MAKSIMAL
AuctionRoom.NUMBER_BIDDERS,JUMLAH PENAWAR\nPUTARAN SEBELUMNYA
AuctionRoom.BID,TAWAR
AuctionRoom.DETAILS,DETAIL
AuctionRoom.CATEGORY,KATEGORI
AuctionRoom.DIMENSION,DIMENSI
AuctionRoom.WEIGHT,BERAT
ShopPage.STARS,BINTANG
ShopPage.PETS,PELIHARAAN
EditPet.CONGRATULATIONS,SELAMAT!\nANDA BARU SAJA MEMBELI PELIHARAAN BARU.\nSEBAIKANYA ANDA SEGERA MEMBERINYA NAMA.
EditPet.INPUT_NAME,MASUKKAN NAMA PELIHARAAN
